response
" name,command
    ""Select_Command_29"", ""select * from article order by keywords desc limit 3""
    ""Update_Command_30"", ""update student set city = 'New York' where name = 'Jane Doe'""
    ""Insert_Command_30"", ""insert into film (title, release_year) values ('Return of the Jedi', '1983')""
    ""Delete_Command_30"", ""delete from car where color like '%y%'""
    ""Select_Command_30"", ""select * from former_teacher order by age asc limit 3""
    ""Update_Command_31"", ""update invoice set insurance = 'Full Coverage' where id = 17""
    ""Insert_Command_31"", ""insert into car (license, model) values ('2033', 'Ford F-150')""
    ""Delete_Command_31"", ""delete from subject where name like '% The%'""
    ""Select_Command_31"", ""select * from article order by year asc limit 3""
    ""Update_Command_32"", ""update student set state = 'California' where name = 'John Doe'""
    ""Insert_Command_32"", ""insert into film (title, release_year) values ('The Phantom Menace', '1999')""
    ""Delete_Command_32"", ""delete from car where license like '%4%'""
    ""Select_Command_32"", ""select * from former_teacher order by age asc limit 3""
    ""Update_Command_33"", ""update invoice set delivery_method = 'Express' where id = 18""
    ""Insert_Command_33"", ""insert into car (license, model) values ('2034', 'Chevrolet Camaro')""
    ""Delete_Command_33"", ""delete from subject where professor like '% Silva%'""
    ""Select_Command_33"", ""select * from article order by keywords asc limit 3""
    ""Update_Command_34"", ""update student set zip = '10001' where name = 'Jane Doe'""
    ""Insert_Command_34"", ""insert into film (title, release_year) values ('Attack of the Clones', '2002')""
    ""Delete_Command_34"", ""delete from car where color like '%o%'""
    ""Select_Command_34"", ""select * from former_teacher order by age asc limit 3""
    ""Update_Command_35"", ""update invoice set manufacturer = 'Sony' where id = 19""
    ""Insert_Command_35"", ""insert into car (license, model) values ('2035', 'Mazda MX-5 Miata')""
    ""Delete_Command_35"", ""delete from subject where name like '% Probability%'""
    ""Select_Command_35"", ""select * from article order by year asc limit 3""
    ""Update_Command_36"", ""update student set country = 'United States' where name = 'John Doe'""
    ""Insert_Command_36"", ""insert into film (title, release_year) values ('Revenge of the Sith', '2005')""
    ""Delete_Command_36"", ""delete from car where license like '%5%'""
    ""Select_Command_36"", ""select * from former_teacher order by age asc limit 3""
    ""Update_Command_37"", ""update invoice set model = 'Sony Bravia' where id = 20""
    ""Insert_Command_37"", ""insert into car (license, model) values ('2036', 'BMW X6')""
    ""Delete_Command_37"", ""delete from subject where professor like '% Brown%'""
    ""Select_Command_37"", ""select * from article order by keywords desc limit 3""
    ""Update_Command_38"", ""update student set street = 'Elm St.' where name = 'Jane Doe'""
    ""Insert_Command_38"", ""insert into film (title, release_year) values ('A New Hope: Special Edition', '1977')""
    ""Delete_Command_38"", ""delete from car where color like '%e%'""
    ""Select_Command_38"", ""select * from former_teacher order by age asc limit 3""
    ""Update_Command_39"", ""update invoice set price = 1000 where id = 21""
    ""Insert_Command_39"", ""insert into car (license, model) values ('2037', 'Toyota Corolla')""
    ""Delete_Command_39"", ""delete from subject where name like '% The Lion King%'""
    ""Select_Command_39"", ""select * from article order by year asc limit 3""
    ""Update_Command_40"", ""update student set apartment = '2A' where name = 'John Doe'""
    ""Insert_Command_40"", ""insert into film (title, release_year) values ('The Empire Strikes Back: Special Edition', '1980')""
    ""Delete_Command_40"", ""delete from car where license like '%6%'""
    ""Select_Command_40"", ""select * from former_teacher order by age asc limit 3""
    ""Update_Command_41"", ""update invoice set resolution = '4K' where id = 22""
    ""Insert_Command_41"", ""insert into car (license, model) values ('2038', 'Volkswagen Golf GTI')""
    ""Delete_Command_41"", ""delete from subject where name like '% A New Hope%'""
    ""Select_Command_41"", ""select * from article order by keywords asc limit 3""
    ""Update_Command_42"", ""update student set number = '678' where name = 'John Doe'""
    ""Insert_Command_42"", ""insert into film (title, release_year) values ('Return of the Jedi: Special Edition', '1983')""
    ""Delete_Command_42"", ""delete from car where color like '%Y%'""
    ""Select_Command_42"", ""select * from former_teacher order by age asc limit 3""
    ""Update_Command_43"", ""update invoice set storage = '1TB' where id = 23""
    ""Insert_Command_43"", ""insert into car (license, model) values ('2039', 'Subaru Impreza WRX')""
    ""Delete_Command_43"", ""delete from subject where name like '% The Phantom Menace%'""
    ""Select_Command_43"", ""select * from article order by year asc limit 3""
    ""Update_Command_44"", ""update student set phone = '123-4567' where name = 'John Doe'""
    ""Insert_Command_44"", ""insert into film (title, release_year) values ('Attack of the Clones: Special Edition', '2002')""
    ""Delete_Command_44"", ""delete from car where license like '%7%'""
    ""Select_Command_44"", ""select * from former_teacher order by age asc limit 3""
    ""Update_Command_45"", ""update invoice set connectivity = 'WiFi' where id = 24""
    ""Insert_Command_45"", ""insert into car (license, model) values ('2040', 'Ford Mustang GT')""
    ""Delete_Command_45"", ""delete from subject where name like '% Revenge of the Sith%'""
    ""Select_Command_45"", ""select * from article order by keywords desc limit 3""
    ""Update_Command_46"", ""update student set email = 'johndoe@example.com' where name = 'John Doe'""
    ""Insert_Command_46"", ""insert into film (title, release_year) values ('A New Hope: Special Edition 2', '1977')""
    ""Delete_Command_46"", ""delete from car where color like '%r%'""
    ""Select_Command_46"", ""select * from former_teacher order by age asc limit 3""
    ""Update_Command_47"", ""update invoice set display = 'LED' where id = 25""
    ""Insert_Command_47"", ""insert into car (license, model) values ('2041', 'Honda Civic Type R')""
    ""Delete_Command_47"", ""delete from subject where name like '% The Empire Strikes Back%'""
    ""Select_Command_47"", ""select * from article order by year asc limit 3""
    ""Update_Command_48"", ""update student set username = 'jdoe' where name = 'John Doe'""
    ""Insert_Command_48"", ""insert into film (title, release_year) values ('Return of the Jedi: Special Edition 2', '1983')""
    ""Delete_Command_48"", ""delete from car where license like '%8%'""
    ""Select_Command_48"", ""select * from former_teacher order by age asc limit 3""
    ""Update_Command_49"", ""update invoice set battery = 'Lithium Ion' where id = 26""
    ""Insert_Command_49"", ""insert into car (license, model) values ('2042', 'Tesla Model S')""
    ""Delete_Command_49"", ""delete from subject where name like '% Attack of the Clones%'""
    ""Select_Command_49"", ""select * from article order by keywords asc limit 3""
    ""Update_Command_50"", ""update student set password = 'password123' where name = 'John Doe'""
    ""Insert_Command_50"", ""insert into film (title, release_year) values ('The Phantom Menace: Special Edition 2', '1999')""
    ""Delete_Command_50"", ""delete from car where color like '%a%'""
    ""Select_Command_50"", ""select * from former_teacher order by age asc limit 3""
    ""Update_Command_51"", ""update invoice set power = '240V' where id = 27""
    ""Insert_Command_51"", ""insert into car (license, model) values ('2043', 'Toyota Supra')""
    ""Delete_Command_51"", ""delete from subject where name like '% Revenge of the Sith%'""
    ""Select_Command_51"", ""select * from article order by year asc limit 3""
    ""Update_Command_52"", ""update student set gender = 'Male' where name = 'John Doe'""
    ""Insert_Command_52"", ""insert into film (title, release_year) values ('Attack of the Clones: Special Edition 2', '2002')""
    ""Delete_Command_52"", ""delete from car where license like '%9%'""
    ""Select_Command_52"", ""select * from former_teacher order by age asc limit 3""
    ""Update_Command_53"", ""update invoice set warranty_type = 'Bumper to Bumper' where id = 28""
    ""Insert_Command_53"", ""insert into car (license, model) values ('2044', 'Porsche 911')""
    ""Delete_Command_53"", ""delete from subject where name like '% A New Hope: Special Edition%'""
    ""Select_Command_53"", ""select * from article order by keywords desc limit 3""
    ""Update_Command_54"", ""update student set birthday = '1985-02-07' where name = 'John Doe'""
    ""Insert_Command_54"", ""insert into film (title, release_year) values ('Return of the Jedi: Special Edition 3', '1983')""
    ""Delete_Command_54"", ""delete from car where color like '%p%'""
    ""Select_Command_54"", ""select * from former_teacher order by age asc limit 3""
    ""Update_Command_55"", ""update invoice set brand = 'Samsung' where id = 29""
    ""Insert_Command_55"", ""insert into car (license, model) values ('2045', 'Lamborghini Huracan')""
    ""Delete_Command_55"", ""delete from subject where name like '% The Empire Strikes Back: Special Edition%'""
    ""Select_Command_55"", ""select * from article order by year asc limit 3""
    ""Update_Command_56"", ""update student set height = '170cm' where name = 'John Doe'""
    ""Insert_Command_56"", ""insert into film (title, release_year) values ('The Empire Strikes Back: Special Edition 3', '1980')""
    ""Delete_Command_56"", ""delete from car where license like '%0%'""
    ""Select_Command_56"", ""select * from former_teacher order by age asc limit 3""
    ""Update_Command_57"", ""update invoice set memory = '8GB' where id = 30""
    ""Insert_Command_57"", ""insert into car (license, model) values ('2046', 'BMW M3')""
    ""Delete_Command_57"", ""delete from subject where name like '% Return of the Jedi: Special Edition 3%'""
    ""Select_Command_57"", ""select * from article order by keywords asc limit 3""
    ""Update_Command_58"", ""update student set weight = '70kg' where name = 'John Doe'""
    ""Insert_Command_58"", ""insert into film (title, release_year) values ('A New Hope: Special Edition 4', '1977')""
    ""Delete_Command_58"", ""delete from car where license like '%1%'""
    ""Select_Command_58"", ""select * from former_teacher order by age asc limit 3""
    ""Update_Command_59"", ""update invoice set capacity = '32GB' where id = 31""
    ""Insert_Command_59"", ""insert into car (license, model) values ('2047', 'Mercedes-Benz C63 AMG')""
    ""Delete_Command_59"", ""delete from subject where name like '% The Empire Strikes Back: Special Edition 3%'""
    ""Select_Command_59"", ""select * from article order by year asc limit 3""
    ""Update_Command_60"", ""update student set address = '1234 Main Street' where name = 'John Doe'""
    ""Insert_Command_60"", ""insert into film (title, release_year) values ('The Phantom Menace: Special Edition 4', '1999')""
    ""Delete_Command_60"", ""delete from car where color like '%2%'""
    ""Select_Command_60"", ""select * from former_teacher order by age asc limit 3""
    ""Update_Command_61"", ""update invoice set operating_system = 'Windows' where id = 32""
    ""Insert_Command_61"", ""insert into car (license, model) values ('2048', 'Aston Martin DB11')""
    ""Delete_Command_61"", ""delete from subject where name like '% Attack of the Clones: Special Edition 2%'""
    ""Select_Command_61"", ""select * from article order by keywords desc limit 3""
    ""Update_Command_62"", ""update student set city = 'Los Angeles' where name = 'John Doe'""
    ""Insert_Command_62"", ""insert into film (title, release_year) values ('Return of the Jedi: Special Edition 4', '1983')""
    ""Delete_Command_62"", ""delete from car where license like '%3%'""
    ""Select_Command_62"", ""select * from former_teacher order by age asc limit 3""
    ""Update_Command_63"", ""update invoice set screen = 'Retina' where id = 33""
    ""Insert_Command_63"", ""insert into car (license, model) values ('2049', 'McLaren 720S')""
    ""Delete_Command_63"", ""delete from subject where name like '% The Empire Strikes Back: Special Edition 4%'""
    ""Select_Command_63"", ""select * from article order by year asc limit 3""
    ""Update_Command_64"", ""update student set state = 'California' where name = 'John Doe'""
    ""Insert_Command_64"", ""insert into film (title, release_year) values ('A New Hope: Special Edition 5', '1977')""
    ""Delete_Command_64"", ""delete from car where license like '%4%'""
    ""Select_Command_64"", ""select * from former_teacher order by age asc limit 3""
    ""Update_Command_65"", ""update invoice set camera = '12MP' where id = 34""
    ""Insert_Command_65"", ""insert into car (license, model) values ('2050', 'Ferrari 812 Superfast')""
    ""Delete_Command_65"", ""delete from subject where name like '% The Phantom Menace: Special Edition 4%'""
    ""Select_Command_65"", ""select * from article order by keywords asc limit 3""
    ""Update_Command_66"", ""update student set zipcode = '90001' where name = 'John Doe'""
    ""Insert_Command_66"", ""insert into film (title, release_year) values ('The Empire Strikes Back: Special Edition 5', '1980')""
    ""Delete_Command_66"", ""delete from car where color like '%5%'""
    ""Select_Command_66"", ""select * from former_teacher order by age asc limit 3""
    ""Update_Command_67"", ""update invoice set speed = '120mph' where id = 35""
    ""Insert_Command_67"", ""insert into car (license, model) values ('2051', 'Lamborghini Aventador')""
    ""Delete_Command_67"", ""delete from subject where name like '% Return of the Jedi: Special Edition 4%'""
    ""Select_Command_67"", ""select * from article order by year asc limit 3""
    ""Update_Command_68"", ""update student set country = 'USA' where name = 'John Doe'""
    ""Insert_Command_68"", ""insert into film (title, release_year) values ('Attack of the Clones: Special Edition 5', '2002')""
    ""Delete_Command_68"", ""delete from car where license like '%6%'""
    ""Select_Command_68"", ""select * from former_teacher order by age asc limit 3""
    ""Update_Command_69"", ""update invoice set storage_type = 'SSD' where id = 36""
    ""Insert_Command_69"", ""insert into car (license, model) values ('2052', 'Porsche Panamera Turbo')""
    ""Delete_Command_69"", ""delete from subject where name like '% A New Hope: Special Edition 5%'""
    ""Select_Command_69"", ""select * from article order by keywords asc limit 3""
    ""Update_Command_70"", ""update student set firstname = 'John' where name = 'John Doe'""
    ""Insert_Command_70"", ""insert into car (license, model) values ('2053', 'Bugatti Chiron')""
    ""Delete_Command_70"", ""delete from subject where name like '% The Empire Strikes Back: Special Edition 5%'""
    ""Select_Command_70"", ""select * from article order by year asc limit 3""
    ""Update_Command_71"", ""update student set lastname = 'Doe' where name = 'John Doe'""
    ""Insert_Command_71"", ""insert into car (license, model) values ('2054', 'Mazda RX-7')""
    ""Delete_Command_71"", ""delete from subject where name like '% Attack of the Clones: Special Edition 5%'""
    ""Select_Command_71"", ""select * from article order by keywords asc limit 3""
    ""Update_Command_72"", ""update student set phone_number = '+1-555-1234' where name = 'John Doe'""
    ""Insert_Command_72"", ""insert into car (license, model) values ('2055', 'Rolls-Royce Phantom')""
    ""Delete_Command_72"", ""delete from subject where name like '% Return of the Jedi: Special Edition 5%'""
    ""Select_Command_72"", ""select * from article order by year asc limit 3""
    ""Update_Command_73"", ""update student set email = 'john.doe@example.com' where name = 'John Doe'""
    ""Insert_Command_73"", ""insert into car (license, model) values ('2056', 'McLaren P1')""
    ""Delete_Command_73"", ""delete from subject where name like '% The Empire Strikes Back: Special Edition 6%'""
    ""Select_Command_73"", ""select * from article order by year asc limit 3""
    ""Update_Command_74"", ""update student set password = 'password123' where name = 'John Doe'""
    ""Insert_Command_74"", ""insert into car (license, model) values ('2057', 'Bentley Continental GT')""
    ""Delete_Command_74"", ""delete from subject where name like '% A New Hope: Special Edition 6%'""
    ""Select_Command_74"", ""select * from article order by keywords asc limit 3""
    ""Update_Command_75"", ""update student set birthdate = '1990-01-01' where name = 'John Doe'""
    ""Insert_Command_75"", ""insert into car (license, model) values ('2058', 'Lamborghini Huracan')""
    ""Delete_Command_75"", ""delete from subject where name like '% The Phantom Menace: Special Edition 6%'""
    ""Select_Command_75"", ""select * from article order by year asc limit 3""
    ""Update_Command_76"", ""update student set profile_picture = 'https://example.com/johndoe.jpg' where name = 'John Doe'""
    ""Insert_Command_76"", ""insert into car (license, model) values ('2059', 'Ferrari LaFerrari')""
    ""Delete_Command_76"", ""delete from subject where name like '% Attack of the Clones: Special Edition 6%'""
    ""Select_Command_76"", ""select * from article order by keywords asc limit 3""
    ""Update_Command_77"", ""update student set bio = 'I am a software developer.' where name = 'John Doe'""
    ""Insert_Command_77"", ""insert into car (license, model) values ('2060', 'McLaren P14')""
    ""Delete_Command_77"", ""delete from subject where name like '% Return of the Jedi: Special Edition 6%'""
    ""Select_Command_77"", ""select * from article order by year asc limit 3"""
